"title","matchingScores.titleMatchingScore"
"Refectocil [Natural Brown & Blue Black] Cream Hair Dye, Mix and Match, 15ml x 2",0.021
"Shoeboy%27s+Shoe+Cream+Polish%2c+Coca%2c+Nourishes%2c+Protects+%26+Freshens+Color%2c+50+ML+Glass+Jar+(Pack+of+6)",0.018
"DUO Brush-On Lash Adhesive with Vitamins A, C & E, Clear, 0.18 oz",0.025
"Ion Charged Terramin Mega-Mineral Supplement & Internal Detoxifier/Cleanser, 1-Pound Powder Jar",0.03
"LIUMY Skin Tag Remover, Liquid Wart Remover, Mole Remover, Safe & Effective Formula for All Kind of Skins (0.1 Fl Oz (Pack of 4))",0.015
"Resource ThickenUp Instant Food & Drink Thickener Powder, Unflavored, 8 Ounce Canister (Pack of 12)",0.021
"Mineral Fusion Setting Powder, Hypoallergenic, Paraben Free, 0.32 Ounce (Packaging May Vary)",0.025
"Pure Tartaric Acid ⊘ Non-GMO ❤ Gluten-Free ☮ Vegan ✡ OU Kosher Certified - 400g/14oz",0.021
"COVERGIRL Clean Makeup Remover for Eyes & Lips, 2 oz (Packaging May Vary) Old Version",0.021
"Eylure Naturals False Eyelashes, Style No. 035, Reusable, Adhesive Included, 3 Count” Packaging may vary",0.02